content,category
수학 과제 하기,공부
헬스장 가기,운동
보고서 작성하기,업무
친구 만나기,개인
책 읽기,공부
쇼핑몰 둘러보기,쇼핑
회의 준비,업무
운동복 사기,쇼핑
자료 조사,공부
러닝 하기,운동
자바 공부하기,공부
회사 회의 참석,업무
엄마 생신 선물 사기,개인
온라인 강의 듣기,공부
PT 예약하기,운동
프레젠테이션 준비,업무
카페에서 책 읽기,개인
음악 감상하기,개인
운동화 사기,쇼핑
영화 예매하기,개인
친구 생일 선물 고르기,쇼핑
업무 보고서 검토,업무
자격증 공부하기,공부
요가 수업 듣기,운동
청소하기,개인
장보기,쇼핑
기획서 작성하기,업무
코딩 문제 풀기,공부
러닝머신 타기,운동
홈트레이닝 하기,운동
알고리즘 강의 듣기,공부
운동 계획 세우기,운동
업무 일정 정리하기,업무
가족과 저녁 식사,개인
전자책 구매하기,쇼핑
리포트 작성하기,공부
스트레칭 하기,운동
이메일 확인하기,업무
지인 선물 포장하기,개인
옷 정리하기,개인
필라테스 예약하기,운동
온라인 쇼핑몰 가입하기,쇼핑
세미나 발표 준비,업무
논문 요약 정리,공부
런닝 슈즈 검색하기,쇼핑
부모님께 전화하기,개인
스프링 강의 수강,공부
출근 준비물 챙기기,업무
등산 가기,운동
장바구니 정리하기,쇼핑
회의록 정리,업무
단어 암기하기,공부
헬스 등록하기,운동
식료품 구매하기,쇼핑
생일 축하 메세지 보내기,개인
팀 프로젝트 회의 준비,업무
노트 필기 정리,공부
근력 운동 루틴 만들기,운동
게임기 쇼핑하기,쇼핑
저녁 약속 일정 조율,개인
